Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763085042.780493,15491,10,1
1,NewOrder,1763085042.780495,15471,8,1
2,Payment,1763085042.790962,4978,0,1
2,Payment,1763085042.790963,4984,5,1
2,Payment,1763085042.790963,4987,12,1
1,NewOrder,1763085042.790989,9274,7,1
1,NewOrder,1763085042.790990,6967,14,1
2,Payment,1763085042.790998,5376,15,1
1,NewOrder,1763085042.791398,10911,9,1
2,Payment,1763085042.794213,6075,11,1
2,Payment,1763085042.795946,6369,6,1
2,Payment,1763085042.795951,4323,0,1
1,NewOrder,1763085042.795955,10773,5,1
2,Payment,1763085042.795960,4329,12,1
1,NewOrder,1763085042.795975,10703,8,1
1,NewOrder,1763085042.795990,10699,10,1
1,NewOrder,1763085042.795996,12779,4,1
3,OrderStatus,1763085042.796383,1082,15,1
2,Payment,1763085042.796434,5876,3,1
5,StockLevel,1763085042.797473,3089,15,1
4,Delivery,1763085042.797957,15450,2,1
2,Payment,1763085042.797959,4443,13,1
2,Payment,1763085042.797966,4841,14,1
1,NewOrder,1763085042.798057,8609,1,1
1,NewOrder,1763085042.800273,10763,7,1
2,Payment,1763085042.800282,4275,0,1
3,OrderStatus,1763085042.800297,975,11,1
1,NewOrder,1763085042.800300,8477,12,1
4,Delivery,1763085042.800572,17036,15,1
2,Payment,1763085042.801278,5382,11,1
1,NewOrder,1763085042.802322,6461,9,1
2,Payment,1763085042.802322,4408,3,1
2,Payment,1763085042.802326,6450,6,1
2,Payment,1763085042.802409,4272,13,1
2,Payment,1763085042.802815,5948,14,1
1,NewOrder,1763085042.804567,11037,0,1
1,NewOrder,1763085042.806671,10931,11,1
2,Payment,1763085042.806676,4385,1,1
